xc,yb,surf,section,cp,std
0.85,0.367,L,6,0.075,
0.95,0.367,L,6,0.08,
0.95,0.51,U,7,0.085,
0.85,0.51,U,7,0.03,
0.75,0.51,U,7,-0.035,
0.65,0.51,U,7,-0.11,
0.5,0.51,U,7,-0.225,
0.35,0.51,U,7,-0.41,
0.15,0.51,U,7,-0.65,
0.08,0.51,U,7,-0.8,
0.03,0.51,U,7,-0.99,
0.01,0.51,U,7,-1.015,
0,0.51,U,7,0.095,
0.01,0.51,L,7,0.525,
0.03,0.51,L,7,0.46,
0.08,0.51,L,7,0.265,
0.15,0.51,L,7,0.12,
0.225,0.51,L,7,0.045,
0.35,0.51,L,7,0.01,
0.5,0.51,L,7,0.012,
0.65,0.51,L,7,0.03,
0.75,0.51,L,7,0.055,
0.85,0.51,L,7,0.07,
0.95,0.51,L,7,0.07,
0.95,0.653,U,8,0.085,
0.85,0.653,U,8,0.025,
0.75,0.653,U,8,-0.02,
0.65,0.653,U,8,-0.1,
0.5,0.653,U,8,-0.23,
0.35,0.653,U,8,-0.42,
0.225,0.653,U,8,-0.545,
0.15,0.653,U,8,-0.64,
0.08,0.653,U,8,-0.82,
0.03,0.653,U,8,-1.01,
0.01,0.653,U,8,-1.125,
0,0.653,U,8,-0.29,
0.01,0.653,L,8,0.52,
0.03,0.653,L,8,0.46,
0.08,0.653,L,8,0.255,
0.15,0.653,L,8,0.13,
0.225,0.653,L,8,0.03,
0.35,0.653,L,8,-0.035,
0.5,0.653,L,8,0.005,
0.65,0.653,L,8,0.035,
0.75,0.653,L,8,0.045,
0.85,0.653,L,8,0.07,
0.95,0.653,L,8,0.085,
0.7,0.949,U,10,-0.045,
0.5,0.949,U,10,-0.19,
0.35,0.949,U,10,-0.33,
0.25,0.949,U,10,-0.425,
0.15,0.949,U,10,-0.52,
0.1,0.949,U,10,-0.56,
0.05,0.949,U,10,-0.65,
0.025,0.949,U,10,-0.7,
0,0.949,U,10,-0.285,
0.025,0.949,L,10,0.085,
0.05,0.949,L,10,0.09,
0.1,0.949,L,10,0.04,
0.15,0.949,L,10,0.01,
0.25,0.949,L,10,-0.02,
0.35,0.949,L,10,-0.04,
0.5,0.949,L,10,0,
0.7,0.949,L,10,0.06,
