xc,yb,surf,section,cp
0.671552,0.7218,U,6,-0.149444586
0.615491,0.7218,U,6,-0.177910038
0.561119,0.7218,U,6,-0.203557892
0.508984,0.7218,U,6,-0.223508796
0.458507,0.7218,U,6,-0.237793628
0.410335,0.7218,U,6,-0.263429904
0.363751,0.7218,U,6,-0.289066179
0.319442,0.7218,U,6,-0.320372386
0.276981,0.7218,U,6,-0.260913365
0.236335,0.7218,U,6,-0.346132172
0.197963,0.7218,U,6,-0.343418788
0.161629,0.7218,U,6,-0.374744293
0.127694,0.7218,U,6,-0.389063863
0.096415,0.7218,U,6,-0.397698062
0.068029,0.7218,U,6,-0.360968945
0.043449,0.7218,U,6,-0.29586315
0.026691,0.7218,U,6,-0.142805864
0.020164,0.7218,U,6,-0.105984113
0.015533,0.7218,U,6,-0.003902179
0.012003,0.7218,U,6,0.041449557
0.008412,0.7218,U,6,0.194584038
0.005101,0.7218,U,6,0.441332222
0.001938,0.7218,U,6,0.722123156
0,0.7218,U,6,1.008518407
0.001938,0.7218,L,6,0.611472638
0.005101,0.7218,L,6,0.25694171
0.008412,0.7218,L,6,0.052746964
0.012003,0.7218,L,6,-0.097562199
0.015533,0.7218,L,6,-0.182630478
0.020164,0.7218,L,6,-0.267687177
0.026691,0.7218,L,6,-0.313023475
0.043449,0.7218,L,6,-0.41217588
0.068029,0.7218,L,6,-0.409196174
0.096415,0.7218,L,6,-0.414727156
0.127694,0.7218,L,6,-0.408918274
0.161629,0.7218,L,6,-0.397435601
0.197963,0.7218,L,6,-0.437040211
0.236335,0.7218,L,6,-0.405710845
0.276981,0.7218,L,6,-0.39425133
0.319442,0.7218,L,6,-0.374281127
0.363751,0.7218,L,6,-0.320272033
0.410335,0.7218,L,6,-0.294635758
0.458507,0.7218,L,6,-0.25764418
0.508984,0.7218,L,6,-0.229186448
0.561119,0.7218,L,6,-0.209220105
0.615491,0.7218,L,6,-0.186432304
0.671552,0.7218,L,6,-0.155118378
0.72819,0.7218,L,6,-0.109631551
0.785998,0.7218,L,6,-0.084010715
0.843881,0.7218,L,6,-0.035683132
0.900483,0.7218,L,6,0.001285288
0.95624,0.7218,L,6,0.086477077
0.99619,0.7218,L,6,0.154620474
0.99619,0.8186,U,7,0.164406501
0.95624,0.8186,U,7,0.089158547
0.900483,0.8186,U,7,0.01129908
0.843881,0.8186,U,7,-0.036854856
0.785998,0.8186,U,7,-0.074283057
0.72819,0.8186,U,7,-0.09009198
0.671552,0.8186,U,7,-0.143664719
0.615491,0.8186,U,7,-0.178327582
0.561119,0.8186,U,7,-0.204890208
0.508984,0.8186,U,7,-0.226061998
0.458507,0.8186,U,7,-0.233728731
0.410335,0.8186,U,7,-0.265682192
0.363751,0.8186,U,7,-0.2895494
0.319442,0.8186,U,7,-0.313402624
0.276981,0.8186,U,7,-0.25904678
0.236335,0.8186,U,7,-0.326026688
0.197963,0.8186,U,7,-0.330942068
0.161629,0.8186,U,7,-0.35201597
0.127694,0.8186,U,7,-0.373103856
0.096415,0.8186,U,7,-0.380686685
0.068029,0.8186,U,7,-0.366692187
0.043449,0.8186,U,7,-0.301414832
0.026691,0.8186,U,7,-0.174268724
0.020164,0.8186,U,7,-0.09045906
0.015533,0.8186,U,7,-0.001328481
0.012003,0.8186,U,7,0.025793505
0.008412,0.8186,U,7,0.249722942
0.005101,0.8186,U,7,0.430497726
0.001938,0.8186,U,7,0.751546107
0,0.8186,U,7,1
0.001938,0.8186,L,7,0.565576264
0.005101,0.8186,L,7,0.260700389
0.008412,0.8186,L,7,0.01787506
0.012003,0.8186,L,7,-0.090123444
0.015533,0.8186,L,7,-0.233134411
0.020164,0.8186,L,7,-0.222534532
0.026691,0.8186,L,7,-0.330574988
0.043449,0.8186,L,7,-0.379609916
0.068029,0.8186,L,7,-0.409804888
0.096415,0.8186,L,7,-0.450781531
0.127694,0.8186,L,7,-0.405462853
0.161629,0.8186,L,7,-0.403242892
0.197963,0.8186,L,7,-0.436063362
0.236335,0.8186,L,7,-0.406875238
0.276981,0.8186,L,7,-0.380340581
0.319442,0.8186,L,7,-0.353791939
0.363751,0.8186,L,7,-0.308375373
0.410335,0.8186,L,7,-0.279131313
0.458507,0.8186,L,7,-0.244482434
0.508984,0.8186,L,7,-0.223338612
0.561119,0.8186,L,7,-0.207557658
0.615491,0.8186,L,7,-0.180995032
0.671552,0.8186,L,7,-0.146360137
0.72819,0.8186,L,7,-0.106250503
0.785998,0.8186,L,7,-0.074283057
0.843881,0.8186,L,7,-0.034173423
0.900483,0.8186,L,7,0.011285095
0.95624,0.8186,L,7,0.086477113
0.99619,0.8186,L,7,0.156320248
0.99619,0.8965,U,8,0.162847791
0.95624,0.8965,U,8,0.092913605
0.900483,0.8965,U,8,0.020315493
0.843881,0.8965,U,8,-0.025364767
0.785998,0.8965,U,8,-0.062955741
0.72819,0.8965,U,8,-0.084409931
0.671552,0.8965,U,8,-0.14085385
0.615491,0.8965,U,8,-0.16497545
0.561119,0.8965,U,8,-0.189100533
0.508984,0.8965,U,8,-0.205160706
0.458507,0.8965,U,8,-0.229282307
0.410335,0.8965,U,8,-0.250719086
0.363751,0.8965,U,8,-0.269464081
0.319442,0.8965,U,8,-0.290893896
0.276981,0.8965,U,8,-0.263871574
0.236335,0.8965,U,8,-0.309520493
0.197963,0.8965,U,8,-0.312104328
0.161629,0.8965,U,8,-0.338907267
0.127694,0.8965,U,8,-0.398008148
0.096415,0.8965,U,8,-0.387112164
0.068029,0.8965,U,8,-0.351983146
0.043449,0.8965,U,8,-0.27378208
0.026691,0.8965,U,8,-0.179440749
0.020164,0.8965,U,8,-0.095939687
0.015533,0.8965,U,8,-0.012452554
0.012003,0.8965,U,8,0.049503778
0.008412,0.8965,U,8,0.122220288
0.005101,0.8965,U,8,0.380697844
0.001938,0.8965,U,8,0.706470035
0,0.8965,U,8,0.997308215
0.001938,0.8965,L,8,0.674175575
0.005101,0.8965,L,8,0.318786781
0.008412,0.8965,L,8,0.071079848
0.012003,0.8965,L,8,-0.098540934
0.015533,0.8965,L,8,-0.101274506
0.020164,0.8965,L,8,-0.200919316
0.026691,0.8965,L,8,-0.289810913
0.043449,0.8965,L,8,-0.394908939
0.068029,0.8965,L,8,-0.36275377
0.096415,0.8965,L,8,-0.403266358
0.127694,0.8965,L,8,-0.349549048
0.161629,0.8965,L,8,-0.368520389
0.197963,0.8965,L,8,-0.395546192
0.236335,0.8965,L,8,-0.384897448
0.276981,0.8965,L,8,-0.363467632
0.319442,0.8965,L,8,-0.333962461
0.363751,0.8965,L,8,-0.272155866
0.410335,0.8965,L,8,-0.253414354
0.458507,0.8965,L,8,-0.234665877
0.508984,0.8965,L,8,-0.202468921
0.561119,0.8965,L,8,-0.186408747
0.615491,0.8965,L,8,-0.167670718
0.671552,0.8965,L,8,-0.140846885
0.72819,0.8965,L,8,-0.097868858
0.785998,0.8965,L,8,-0.060267437
0.843881,0.8965,L,8,-0.025371731
0.900483,0.8965,L,8,0.014935404
0.95624,0.8965,L,8,0.087533517
0.99619,0.8965,L,8,0.157467702
0.99619,0.9539,U,9,0.158586013
0.95624,0.9539,U,9,0.078178754
0.900483,0.9539,U,9,0.005919467
0.843881,0.9539,U,9,-0.026031728
0.785998,0.9539,U,9,-0.066005543
0.72819,0.9539,U,9,-0.079070156
0.671552,0.9539,U,9,-0.135186707
0.615491,0.9539,U,9,-0.153627589
0.561119,0.9539,U,9,-0.180132875
0.508984,0.9539,U,9,-0.187779434
0.458507,0.9539,U,9,-0.206192459
0.410335,0.9539,U,9,-0.227321476
0.363751,0.9539,U,9,-0.240344304
0.319442,0.9539,U,9,-0.269509868
0.276981,0.9539,U,9,-0.26374361
0.236335,0.9539,U,9,-0.300931794
0.197963,0.9539,U,9,-0.27093054
0.161629,0.9539,U,9,-0.318801621
0.127694,0.9539,U,9,-0.358677939
0.096415,0.9539,U,9,-0.374277477
0.068029,0.9539,U,9,-0.320013371
0.043449,0.9539,U,9,-0.289831051
0.026691,0.9539,U,9,-0.165703302
0.020164,0.9539,U,9,-0.122526011
0.015533,0.9539,U,9,0.014777776
0.012003,0.9539,U,9,0.033720072
0.008412,0.9539,U,9,0.211373734
0.005101,0.9539,U,9,0.362146051
0.001938,0.9539,U,9,0.752245916
0,0.9539,U,9,0.989233533
0.001938,0.9539,L,9,0.601682522
0.005101,0.9539,L,9,0.327214229
0.008412,0.9539,L,9,0.033970779
0.012003,0.9539,L,9,-0.036101787
0.015533,0.9539,L,9,-0.173335933
0.020164,0.9539,L,9,-0.18425561
0.026691,0.9539,L,9,-0.308216221
0.043449,0.9539,L,9,-0.348983941
0.068029,0.9539,L,9,-0.368413722
0.096415,0.9539,L,9,-0.371617198
0.127694,0.9539,L,9,-0.361352146
0.161629,0.9539,L,9,-0.35912364
0.197963,0.9539,L,9,-0.381116203
0.236335,0.9539,L,9,-0.352020279
0.276981,0.9539,L,9,-0.320180509
0.319442,0.9539,L,9,-0.288312882
0.363751,0.9539,L,9,-0.259161246
0.410335,0.9539,L,9,-0.229995682
0.458507,0.9539,L,9,-0.208838809
0.508984,0.9539,L,9,-0.179728958
0.561119,0.9539,L,9,-0.174756605
0.615491,0.9539,L,9,-0.156287867
0.671552,0.9539,L,9,-0.11368163
0.72819,0.9539,L,9,-0.087120632
0.785998,0.9539,L,9,-0.057913283
0.843881,0.9539,L,9,-0.023329666
0.900483,0.9539,L,9,0.005961252
0.95624,0.9539,L,9,0.078192682
0.99619,0.9539,L,9,0.129072245
0.99619,0.9883,U,10,0.129577465
0.95624,0.9883,U,10,0.067605634
0.900483,0.9883,U,10,-0.002816901
0.843881,0.9883,U,10,-0.030985915
0.785998,0.9883,U,10,-0.042253521
0.72819,0.9883,U,10,-0.064788732
0.671552,0.9883,U,10,-0.118309859
0.615491,0.9883,U,10,-0.14084507
0.561119,0.9883,U,10,-0.143661972
0.508984,0.9883,U,10,-0.166197183
0.458507,0.9883,U,10,-0.174647887
0.410335,0.9883,U,10,-0.2
0.363751,0.9883,U,10,-0.194366197
0.319442,0.9883,U,10,-0.225352113
0.276981,0.9883,U,10,-0.261971831
0.236335,0.9883,U,10,-0.281690141
0.197963,0.9883,U,10,-0.278873239
0.161629,0.9883,U,10,-0.295774648
0.127694,0.9883,U,10,-0.309859155
0.096415,0.9883,U,10,-0.318309859
0.068029,0.9883,U,10,-0.278873239
0.043449,0.9883,U,10,-0.247887324
0.026691,0.9883,U,10,-0.123943662
0.020164,0.9883,U,10,-0.092957746
0.015533,0.9883,U,10,0.011267606
0.012003,0.9883,U,10,0.073239437
0.008412,0.9883,U,10,0.225352113
0.005101,0.9883,U,10,0.394366197
0.001938,0.9883,U,10,0.729577465
0,0.9883,U,10,0.977464789
0.001938,0.9883,L,10,0.557746479
0.005101,0.9883,L,10,0.270422535
0.008412,0.9883,L,10,0.047887324
0.012003,0.9883,L,10,-0.073239437
0.015533,0.9883,L,10,-0.191549296
0.020164,0.9883,L,10,-0.197183099
0.026691,0.9883,L,10,-0.261971831
0.043449,0.9883,L,10,-0.332394366
0.068029,0.9883,L,10,-0.332394366
0.096415,0.9883,L,10,-0.326760563
0.127694,0.9883,L,10,-0.267605634
0.161629,0.9883,L,10,-0.278873239
0.197963,0.9883,L,10,-0.321126761
0.236335,0.9883,L,10,-0.298591549
0.276981,0.9883,L,10,-0.270422535
0.319442,0.9883,L,10,-0.253521127
0.363751,0.9883,L,10,-0.2
0.410335,0.9883,L,10,-0.194366197
0.458507,0.9883,L,10,-0.169014085
