xc,yb,surf,section,cp,std
0.95,0.406,L,5,0.055,
0.95,0.61,U,6,-0.35,
0.85,0.61,U,6,-0.505,
0.75,0.61,U,6,-0.645,
0.65,0.61,U,6,-0.78,
0.5,0.61,U,6,-1.01,
0.35,0.61,U,6,-1.21,
0.225,0.61,U,6,-1.28,
0.15,0.61,U,6,-1.32,
0.08,0.61,U,6,-1.385,
0.03,0.61,U,6,-1.41,
0.01,0.61,U,6,-1.38,
0,0.61,U,6,-1.755,
0.01,0.61,L,6,-0.025,
0.03,0.61,L,6,0.51,
0.08,0.61,L,6,0.6,
0.15,0.61,L,6,0.51,
0.225,0.61,L,6,0.415,
0.35,0.61,L,6,0.275,
0.5,0.61,L,6,0.175,
0.65,0.61,L,6,0.12,
0.75,0.61,L,6,0.07,
0.85,0.61,L,6,0.025,
0.95,0.61,L,6,-0.11,
0.95,0.831,U,7,0.045,
0.85,0.831,U,7,-0.37,
0.75,0.831,U,7,-1.26,
0.65,0.831,U,7,-1.43,
0.5,0.831,U,7,-0.955,
0.35,0.831,U,7,-0.74,
0.225,0.831,U,7,-0.735,
0.15,0.831,U,7,-0.845,
0.08,0.831,U,7,-1.33,
0.03,0.831,U,7,-2.645,
0.01,0.831,U,7,-4.445,
0,0.831,U,7,-5.72,
0.01,0.831,L,7,-0.515,
0.03,0.831,L,7,0.025,
0.08,0.831,L,7,0.36,
0.15,0.831,L,7,0.325,
0.225,0.831,L,7,0.245,
0.35,0.831,L,7,0.16,
0.5,0.831,L,7,0.07,
0.65,0.831,L,7,0.13,
0.75,0.831,L,7,0.105,
0.85,0.831,L,7,0.11,
0.7,0.915,U,8,-0.385,
0.5,0.915,U,8,-0.415,
0.35,0.915,U,8,-0.485,
0.25,0.915,U,8,-0.585,
0.15,0.915,U,8,-0.69,
0.1,0.915,U,8,-0.74,
0.05,0.915,U,8,-0.805,
0.025,0.915,U,8,-0.915,
0,0.915,U,8,-1.33,
0.025,0.915,L,8,-0.48,
0.05,0.915,L,8,-0.18,
0.1,0.915,L,8,-0.01,
0.15,0.915,L,8,0.055,
0.25,0.915,L,8,0.07,
0.35,0.915,L,8,0.08,
0.5,0.915,L,8,0.09,
0.7,0.915,L,8,0.065,
