xc,yb,surf,section,cp
0.01,0.944,L,10,1.056794238
0.022,0.944,L,10,0.958636057
0.04,0.944,L,10,0.729947427
0.09,0.944,L,10,0.321111773
0.16,0.944,L,10,0.09929847
0.25,0.944,L,10,-0.049652035
0.36,0.944,L,10,-0.052406645
0.49,0.944,L,10,-0.096256455
0.64,0.944,L,10,-0.116288965
0.79,0.944,L,10,-0.119883396
0.95,0.944,L,10,0.006750288
0.95,0.974,U,11,-0.578672594
0.79,0.974,U,11,-0.820400178
0.64,0.974,U,11,-0.716541358
0.49,0.974,U,11,-0.571669184
0.36,0.974,U,11,-0.575639712
0.25,0.974,U,11,-0.752959085
0.16,0.974,U,11,-0.964033732
0.09,0.974,U,11,-1.27438315
0.04,0.974,U,11,-1.77495905
0.022,0.974,U,11,-2.021316988
0.01,0.974,U,11,-1.938642033
0.01,0.974,L,11,0.975169731
0.022,0.974,L,11,0.834742697
0.04,0.974,L,11,0.537844455
0.09,0.974,L,11,0.215097266
0.16,0.974,L,11,0.040220405
0.25,0.974,L,11,-0.119306836
0.36,0.974,L,11,-0.139379417
0.49,0.974,L,11,-0.15168458
0.64,0.974,L,11,-0.140363367
0.79,0.974,L,11,-0.128949547
0.95,0.974,L,11,-0.03537011
0.95,0.994,U,12,-0.421255434
0.79,0.994,U,12,-0.92146127
0.64,0.994,U,12,-0.75352391
0.49,0.994,U,12,-0.97118298
0.36,0.994,U,12,-1.463855223
0.25,0.994,U,12,-1.168686603
0.16,0.994,U,12,-0.779879133
0.09,0.994,U,12,-0.88883217
0.04,0.994,U,12,-1.144233303
0.022,0.994,U,12,-1.375255236
0.01,0.994,U,12,-1.537610328
0.01,0.994,L,12,0.819613687
0.022,0.994,L,12,0.561940126
0.04,0.994,L,12,0.295596759
0.09,0.994,L,12,0.054126597
0.16,0.994,L,12,-0.094198722
0.25,0.994,L,12,-0.217354433
0.36,0.994,L,12,-0.246723093
0.49,0.994,L,12,-0.26845936
0.64,0.994,L,12,-0.282069227
0.79,0.994,L,12,-0.244401265
0.95,0.994,L,12,-0.138362864
