xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.137,0.011,,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,0.061,0.012,,,,,,,,,,,,,,,,,,
0,0.95,2,U,1.086,0.005,,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.404,0.011,,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,-0.005,0.011,,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,-0.106,0.01,,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.165,0.009,,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.287,0.009,,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.437,0.008,,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.229,0.008,,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.18,0.008,,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.095,0.008,,,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.176,0.007,,,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.12,0.007,,,,,,,,,,,,,,,,,,
0.8,0.95,2,L,-0.075,0.007,,,,,,,,,,,,,,,,,,
0.9,0.95,2,L,0.01,0.006,,,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.132,0.006,,,,,,,,,,,,,,,,,,
