xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,,
0.95,0.95,2,U,0.227,0.007,,,,,,,,,,,,,,,,,,,
0.9,0.95,2,U,0.073,0.006,,,,,,,,,,,,,,,,,,,
0.85,0.95,2,U,-0.057,0.006,,,,,,,,,,,,,,,,,,,
0.8,0.95,2,U,-0.073,0.007,,,,,,,,,,,,,,,,,,,
0.75,0.95,2,U,-0.022,0.006,,,,,,,,,,,,,,,,,,,
0.7,0.95,2,U,-0.159,0.007,,,,,,,,,,,,,,,,,,,
0.65,0.95,2,U,-0.059,0.007,,,,,,,,,,,,,,,,,,,
0.6,0.95,2,U,-0.197,0.007,,,,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.128,0.008,,,,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.169,0.007,,,,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.291,0.008,,,,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.227,0.008,,,,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.259,0.009,,,,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.383,0.009,,,,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.57,0.009,,,,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.669,0.01,,,,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.742,0.01,,,,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-1.228,0.037,,,,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.666,0.009,,,,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.618,0.01,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.612,0.012,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.546,0.013,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,-0.355,0.013,,,,,,,,,,,,,,,,,,,
0,0.95,2,U,0.996,0.007,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.692,0.009,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,0.292,0.01,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,0.196,0.009,,,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,0.072,0.009,,,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.113,0.008,,,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.343,0.008,,,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.179,0.008,,,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.155,0.008,,,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.089,0.008,,,,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.181,0.007,,,,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.136,0.007,,,,,,,,,,,,,,,,,,,
0.8,0.95,2,L,-0.1,0.007,,,,,,,,,,,,,,,,,,,
0.9,0.95,2,L,-0.018,0.006,,,,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.107,0.006,,,,,,,,,,,,,,,,,,,
