xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.285,0.009,,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.204,0.011,,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,-0.019,0.013,,,,,,,,,,,,,,,,,,
0,0.95,2,U,1.038,0.004,,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.332,0.011,,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,-0.017,0.011,,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,-0.102,0.009,,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.159,0.007,,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.247,0.005,,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.339,0.004,,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.197,0.004,,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.154,0.004,,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.093,0.004,,,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.133,0.004,,,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.092,0.004,,,,,,,,,,,,,,,,,,
0.8,0.95,2,L,-0.06,0.004,,,,,,,,,,,,,,,,,,
0.9,0.95,2,L,0.022,0.004,,,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.114,0.004,,,,,,,,,,,,,,,,,,
