xc,yb,section,surf,cp,std,,,,,,,,,,,,0.96556,0.98937
0.9,0.25128,3,L,0.08519,,,,,,,,,,,,,,
0.98,0.25128,3,L,0.13178,,,,,,,,,,,,,,
0.98,0.29889,4,U,0.15507,,,,,,,,,,,,,,
0.9,0.29889,4,U,0.05258,,,,,,,,,,,,,,
0.8,0.29889,4,U,-0.06855,,,,,,,,,,,,,,
0.7,0.29889,4,U,-0.18037,,,,,,,,,,,,,,
0.6,0.29889,4,U,-0.2782,,,,,,,,,,,,,,
0.5,0.29889,4,U,-0.39468,,,,,,,,,,,,,,
0.4,0.29889,4,U,-0.5391,,,,,,,,,,,,,,
0.3,0.29889,4,U,-0.71148,,,,,,,,,,,,,,
0.2,0.29889,4,U,-0.92579,,,,,,,,,,,,,,
0.15,0.29889,4,U,-1.08885,,,,,,,,,,,,,,
0.1,0.29889,4,U,-1.30316,,,,,,,,,,,,,,
0.05,0.29889,4,U,-1.82962,,,,,,,,,,,,,,
0.025,0.29889,4,U,-2.03461,,,,,,,,,,,,,,
0.0125,0.29889,4,U,-2.55641,,,,,,,,,,,,,,
0,0.29889,4,U,-0.9584,,,,,,,,,,,,,,
0.0125,0.29889,4,L,0.96572,,,,,,,,,,,,,,
0.025,0.29889,4,L,0.9005,,,,,,,,,,,,,,
0.05,0.29889,4,L,0.63028,,,,,,,,,,,,,,
0.1,0.29889,4,L,0.36472,,,,,,,,,,,,,,
0.15,0.29889,4,L,0.24359,,,,,,,,,,,,,,
0.2,0.29889,4,L,0.15507,,,,,,,,,,,,,,
0.3,0.29889,4,L,0.07121,,,,,,,,,,,,,,
0.4,0.29889,4,L,0.04792,,,,,,,,,,,,,,
0.5,0.29889,4,L,0.0386,,,,,,,,,,,,,,
0.6,0.29889,4,L,0.0386,,,,,,,,,,,,,,
0.7,0.29889,4,L,0.04792,,,,,,,,,,,,,,
0.8,0.29889,4,L,0.06655,,,,,,,,,,,,,,
0.9,0.29889,4,L,0.09451,,,,,,,,,,,,,,
0.98,0.29889,4,L,0.1411,,,,,,,,,,,,,,
0.98,0.34651,5,U,0.12712,,,,,,,,,,,,,,
0.9,0.34651,5,U,0.04326,,,,,,,,,,,,,,
0.8,0.34651,5,U,-0.06855,,,,,,,,,,,,,,
0.7,0.34651,5,U,-0.18037,,,,,,,,,,,,,,
0.6,0.34651,5,U,-0.28286,,,,,,,,,,,,,,
0.5,0.34651,5,U,-0.39934,,,,,,,,,,,,,,
0.4,0.34651,5,U,-0.53444,,,,,,,,,,,,,,
0.3,0.34651,5,U,-0.69751,,,,,,,,,,,,,,
0.2,0.34651,5,U,-0.93049,,,,,,,,,,,,,,
0.15,0.34651,5,U,-1.08419,,,,,,,,,,,,,,
0.1,0.34651,5,U,-1.29453,,,,,,,,,,,,,,
0.05,0.34651,5,U,-1.80632,,,,,,,,,,,,,,
0.025,0.34651,5,U,-1.82996,,,,,,,,,,,,,,
0.0125,0.34651,5,U,-2.58902,,,,,,,,,,,,,,
0,0.34651,5,U,-0.85591,,,,,,,,,,,,,,
0.0125,0.34651,5,L,0.96572,,,,,,,,,,,,,,
0.025,0.34651,5,L,0.88552,,,,,,,,,,,,,,
0.05,0.34651,5,L,0.62562,,,,,,,,,,,,,,
0.1,0.34651,5,L,0.35541,,,,,,,,,,,,,,
0.15,0.34651,5,L,0.23427,,,,,,,,,,,,,,
0.2,0.34651,5,L,0.15907,,,,,,,,,,,,,,
0.3,0.34651,5,L,0.07587,,,,,,,,,,,,,,
0.4,0.34651,5,L,0.05258,,,,,,,,,,,,,,
0.5,0.34651,5,L,0.0346,,,,,,,,,,,,,,
0.6,0.34651,5,L,0.04326,,,,,,,,,,,,,,
0.7,0.34651,5,L,0.04326,,,,,,,,,,,,,,
0.8,0.34651,5,L,0.06655,,,,,,,,,,,,,,
0.9,0.34651,5,L,0.10382,,,,,,,,,,,,,,
0.98,0.34651,5,L,0.1411,,,,,,,,,,,,,,
0.98,0.44175,6,U,0.15041,,,,,,,,,,,,,,
0.9,0.44175,6,U,0.04792,,,,,,,,,,,,,,
0.8,0.44175,6,U,-0.07321,,,,,,,,,,,,,,
0.7,0.44175,6,U,-0.17971,,,,,,,,,,,,,,
0.6,0.44175,6,U,-0.27355,,,,,,,,,,,,,,
0.5,0.44175,6,U,-0.39468,,,,,,,,,,,,,,
0.4,0.44175,6,U,-0.51115,,,,,,,,,,,,,,
0.3,0.44175,6,U,-0.68819,,,,,,,,,,,,,,
0.2,0.44175,6,U,-0.89784,,,,,,,,,,,,,,
0.15,0.44175,6,U,-1.04692,,,,,,,,,,,,,,
0.1,0.44175,6,U,-1.25657,,,,,,,,,,,,,,
0.05,0.44175,6,U,-1.75042,,,,,,,,,,,,,,
0.025,0.44175,6,U,-1.8203,,,,,,,,,,,,,,
0.0125,0.44175,6,U,-2,,,,,,,,,,,,,,
0,0.44175,6,U,-0.70582,,,,,,,,,,,,,,
0.0125,0.44175,6,L,0.97504,,,,,,,,,,,,,,
0.025,0.44175,6,L,0.86788,,,,,,,,,,,,,,
0.05,0.44175,6,L,0.60233,,,,,,,,,,,,,,
0.1,0.44175,6,L,0.2995,,,,,,,,,,,,,,
0.15,0.44175,6,L,0.2203,,,,,,,,,,,,,,
0.2,0.44175,6,L,0.14575,,,,,,,,,,,,,,
0.3,0.44175,6,L,0.07121,,,,,,,,,,,,,,
0.4,0.44175,6,L,0.05258,,,,,,,,,,,,,,
0.5,0.44175,6,L,0.04326,,,,,,,,,,,,,,
0.6,0.44175,6,L,0.04326,,,,,,,,,,,,,,
0.7,0.44175,6,L,0.04326,,,,,,,,,,,,,,
0.8,0.44175,6,L,0.07121,,,,,,,,,,,,,,
0.9,0.44175,6,L,0.09917,,,,,,,,,,,,,,
0.98,0.44175,6,L,0.13644,,,,,,,,,,,,,,
0.98,0.48937,7,U,0.11314,,,,,,,,,,,,,,
0.9,0.48937,7,U,0.05258,,,,,,,,,,,,,,
0.8,0.48937,7,U,-0.0639,,,,,,,,,,,,,,
0.7,0.48937,7,U,-0.18037,,,,,,,,,,,,,,
0.6,0.48937,7,U,-0.27335,,,,,,,,,,,,,,
0.5,0.48937,7,U,-0.38536,,,,,,,,,,,,,,
0.4,0.48937,7,U,-0.51581,,,,,,,,,,,,,,
0.3,0.48937,7,U,-0.67421,,,,,,,,,,,,,,
0.2,0.48937,7,U,-0.88386,,,,,,,,,,,,,,
0.1,0.48937,7,U,-1.2314,,,,,,,,,,,,,,
0.05,0.48937,7,U,-1.69,,,,,,,,,,,,,,
0.025,0.48937,7,U,-2.11381,,,,,,,,,,,,,,
0.0125,0.48937,7,U,-2.384,,,,,,,,,,,,,,
0,0.48937,7,U,-0.6504,,,,,,,,,,,,,,
0.0125,0.48937,7,L,0.98902,,,,,,,,,,,,,,
0.025,0.48937,7,L,0.85391,,,,,,,,,,,,,,
0.05,0.48937,7,L,0.59301,,,,,,,,,,,,,,
0.1,0.48937,7,L,0.33677,,,,,,,,,,,,,,
0.15,0.48937,7,L,0.21098,,,,,,,,,,,,,,
0.2,0.48937,7,L,0.13178,,,,,,,,,,,,,,
0.3,0.48937,7,L,0.04326,,,,,,,,,,,,,,
0.4,0.48937,7,L,0.04326,,,,,,,,,,,,,,
0.5,0.48937,7,L,0.02462,,,,,,,,,,,,,,
0.6,0.48937,7,L,0.03394,,,,,,,,,,,,,,
0.7,0.48937,7,L,0.04326,,,,,,,,,,,,,,
0.8,0.48937,7,L,0.06189,,,,,,,,,,,,,,
0.9,0.48937,7,L,0.09917,,,,,,,,,,,,,,
0.98,0.48937,7,L,0.14575,,,,,,,,,,,,,,
0.98,0.53699,8,U,0.15973,,,,,,,,,,,,,,
0.9,0.53699,8,U,0.05724,,,,,,,,,,,,,,
0.8,0.53699,8,U,-0.05924,,,,,,,,,,,,,,
0.7,0.53699,8,U,-0.16173,,,,,,,,,,,,,,
0.6,0.53699,8,U,-0.26423,,,,,,,,,,,,,,
0.5,0.53699,8,U,-0.36672,,,,,,,,,,,,,,
0.4,0.53699,8,U,-0.49717,,,,,,,,,,,,,,
0.3,0.53699,8,U,-0.65558,,,,,,,,,,,,,,
0.2,0.53699,8,U,-0.86989,,,,,,,,,,,,,,
0.15,0.53699,8,U,-1.01431,,,,,,,,,,,,,,
0.1,0.53699,8,U,-1.18203,,,,,,,,,,,,,,
0.05,0.53699,8,U,-1.85258,,,,,,,,,,,,,,
0.025,0.53699,8,U,-2.01132,,,,,,,,,,,,,,
0.0125,0.53699,8,U,-2.30017,,,,,,,,,,,,,,
0,0.53699,8,U,-0.58569,,,,,,,,,,,,,,
0.0125,0.53699,8,L,0.98902,,,,,,,,,,,,,,
0.025,0.53699,8,L,0.83993,,,,,,,,,,,,,,
0.05,0.53699,8,L,0.56506,,,,,,,,,,,,,,
0.1,0.53699,8,L,0.34609,,,,,,,,,,,,,,
0.15,0.53699,8,L,0.197,,,,,,,,,,,,,,
0.2,0.53699,8,L,0.13178,,,,,,,,,,,,,,
0.3,0.53699,8,L,0.05724,,,,,,,,,,,,,,
0.4,0.53699,8,L,0.02928,,,,,,,,,,,,,,
0.5,0.53699,8,L,0.02462,,,,,,,,,,,,,,
0.6,0.53699,8,L,0.03394,,,,,,,,,,,,,,
0.7,0.53699,8,L,0.04326,,,,,,,,,,,,,,
0.8,0.53699,8,L,0.06655,,,,,,,,,,,,,,
0.9,0.53699,8,L,0.09451,,,,,,,,,,,,,,
0.98,0.53699,8,L,0.12712,,,,,,,,,,,,,,
0.98,0.58461,9,U,0.18959,,,,,,,,,,,,,,
0.9,0.58461,9,U,0.08562,,,,,,,,,,,,,,
0.8,0.58461,9,U,-0.02202,,,,,,,,,,,,,,
0.7,0.58461,9,U,-0.13435,,,,,,,,,,,,,,
0.6,0.58461,9,U,-0.22793,,,,,,,,,,,,,,
0.5,0.58461,9,U,-0.34905,,,,,,,,,,,,,,
0.4,0.58461,9,U,-0.47602,,,,,,,,,,,,,,
0.3,0.58461,9,U,-0.63516,,,,,,,,,,,,,,
0.2,0.58461,9,U,-0.83173,,,,,,,,,,,,,,
0.15,0.58461,9,U,-0.99087,,,,,,,,,,,,,,
0.1,0.58461,9,U,-1.14064,,,,,,,,,,,,,,
0.05,0.58461,9,U,-1.61804,,,,,,,,,,,,,,
0.025,0.58461,9,U,-2.67581,,,,,,,,,,,,,,
0.0125,0.58461,9,U,-2.27797,,,,,,,,,,,,,,
0,0.58461,9,U,-0.60707,,,,,,,,,,,,,,
0.0125,0.58461,9,L,0.98894,,,,,,,,,,,,,,
0.025,0.58461,9,L,0.84385,,,,,,,,,,,,,,
0.05,0.58461,9,L,0.59111,,,,,,,,,,,,,,
0.1,0.58461,9,L,0.34305,,,,,,,,,,,,,,
0.15,0.58461,9,L,0.22136,,,,,,,,,,,,,,
0.2,0.58461,9,L,0.16519,,,,,,,,,,,,,,
0.3,0.58461,9,L,0.08562,,,,,,,,,,,,,,
0.4,0.58461,9,L,0.03882,,,,,,,,,,,,,,
0.5,0.58461,9,L,0.0435,,,,,,,,,,,,,,
0.6,0.58461,9,L,0.05754,,,,,,,,,,,,,,
0.7,0.58461,9,L,0.0715,,,,,,,,,,,,,,
0.8,0.58461,9,L,0.10903,,,,,,,,,,,,,,
0.9,0.58461,9,L,0.12775,,,,,,,,,,,,,,
0.98,0.58461,9,L,0.15503,,,,,,,,,,,,,,
0.98,0.63223,10,U,0.18391,,,,,,,,,,,,,,
0.9,0.63223,10,U,0.08562,,,,,,,,,,,,,,
0.8,0.63223,10,U,-0.03139,,,,,,,,,,,,,,
0.7,0.63223,10,U,-0.12031,,,,,,,,,,,,,,
0.6,0.63223,10,U,-0.22328,,,,,,,,,,,,,,
0.5,0.63223,10,U,-0.33093,,,,,,,,,,,,,,
