xc,yb,section,surf,cp,std,,,,,,,,,,,,0.96556,0.98937
0.95,0.75,4,U,0.089862827,,,,,,,,,,,,,,
0.85,0.75,4,U,-0.020197533,,,,,,,,,,,,,,
0.75,0.75,4,U,-0.133646118,,,,,,,,,,,,,,
0.55,0.75,4,U,-0.364387182,,,,,,,,,,,,,,
0.25,0.75,4,U,-0.92938431,,,,,,,,,,,,,,
0.1,0.75,4,U,-1.530118913,,,,,,,,,,,,,,
0.05,0.75,4,U,-2.263023592,,,,,,,,,,,,,,
0.025,0.75,4,U,-2.665864364,,,,,,,,,,,,,,
0.0075,0.75,4,L,1.032635671,,,,,,,,,,,,,,
0.025,0.75,4,L,0.954358231,,,,,,,,,,,,,,
0.05,0.75,4,L,0.731438401,,,,,,,,,,,,,,
0.1,0.75,4,L,0.423054578,,,,,,,,,,,,,,
0.95,0.833,4,U,-0.04136762,,,,,,,,,,,,,,
0.85,0.833,4,U,-0.131650475,,,,,,,,,,,,,,
0.75,0.833,4,U,-0.229074384,,,,,,,,,,,,,,
0.55,0.833,4,U,-0.336786919,,,,,,,,,,,,,,
0.25,0.833,4,U,-0.847329646,,,,,,,,,,,,,,
0.1,0.833,4,U,-1.378892251,,,,,,,,,,,,,,
0.05,0.833,4,U,-2.052987406,,,,,,,,,,,,,,
0.025,0.833,4,U,-2.461070109,,,,,,,,,,,,,,
0,0.833,4,U,-0.538097096,,,,,,,,,,,,,,
0.025,0.833,4,L,0.96439965,,,,,,,,,,,,,,
0.05,0.833,4,L,0.710685679,,,,,,,,,,,,,,
0.1,0.833,4,L,0.439342026,,,,,,,,,,,,,,
0.95,0.885,5,U,0.02600929,,,,,,,,,,,,,,
0.85,0.885,5,U,-0.051219126,,,,,,,,,,,,,,
0.75,0.885,5,U,-0.143562296,,,,,,,,,,,,,,
0.65,0.885,5,U,-0.235787028,,,,,,,,,,,,,,
0.55,0.885,5,U,-0.328130198,,,,,,,,,,,,,,
0.45,0.885,5,U,-0.446494851,,,,,,,,,,,,,,
0.35,0.885,5,U,-0.595029792,,,,,,,,,,,,,,
0.25,0.885,5,U,-0.784286438,,,,,,,,,,,,,,
0.2,0.885,5,U,-0.940767163,,,,,,,,,,,,,,
0.15,0.885,5,U,-1.123150933,,,,,,,,,,,,,,
0.1,0.885,5,U,-1.324265294,,,,,,,,,,,,,,
0.075,0.885,5,U,-1.560886611,,,,,,,,,,,,,,
0.05,0.885,5,U,-1.842674535,,,,,,,,,,,,,,
0.025,0.885,5,U,-2.225110208,,,,,,,,,,,,,,
0.01,0.885,5,U,-2.338085941,,,,,,,,,,,,,,
0.0075,0.885,5,U,-2.069632721,,,,,,,,,,,,,,
0,0.885,5,U,-0.352044184,,,,,,,,,,,,,,
0.0075,0.885,5,L,0.903145743,,,,,,,,,,,,,,
0.01,0.885,5,L,1.012268763,,,,,,,,,,,,,,
0.025,0.885,5,L,0.874870459,,,,,,,,,,,,,,
0.05,0.885,5,L,0.596161918,,,,,,,,,,,,,,
0.075,0.885,5,L,0.437127814,,,,,,,,,,,,,,
0.1,0.885,5,L,0.326698494,,,,,,,,,,,,,,
0.15,0.885,5,L,0.191550508,,,,,,,,,,,,,,
0.2,0.885,5,L,0.101332251,,,,,,,,,,,,,,
0.25,0.885,5,L,0.048575176,,,,,,,,,,,,,,
0.35,0.885,5,L,-0.012423777,,,,,,,,,,,,,,
0.45,0.885,5,L,-0.036079987,,,,,,,,,,,,,,
0.55,0.885,5,L,-0.02944747,,,,,,,,,,,,,,
0.65,0.885,5,L,-0.015642499,,,,,,,,,,,,,,
0.75,0.885,5,L,0.01309957,,,,,,,,,,,,,,
0.85,0.885,5,L,0.038166583,,,,,,,,,,,,,,
0.95,0.885,5,L,0.070879801,,,,,,,,,,,,,,
0.95,0.906,6,U,-0.000126523,,,,,,,,,,,,,,
0.85,0.906,6,U,-0.100260568,,,,,,,,,,,,,,
0.75,0.906,6,U,-0.178328398,,,,,,,,,,,,,,
0.65,0.906,6,U,-0.256170539,,,,,,,,,,,,,,
0.55,0.906,6,U,-0.334275983,,,,,,,,,,,,,,
0.45,0.906,6,U,-0.449384143,,,,,,,,,,,,,,
0.25,0.906,6,U,-0.753229744,,,,,,,,,,,,,,
0.1,0.906,6,U,-1.188005663,,,,,,,,,,,,,,
0.05,0.906,6,U,-1.792680842,,,,,,,,,,,,,,
0.025,0.906,6,U,-2.022880063,,,,,,,,,,,,,,
0,0.906,6,U,-0.149614619,,,,,,,,,,,,,,
0.025,0.906,6,L,0.886536633,,,,,,,,,,,,,,
0.05,0.906,6,L,0.617594157,,,,,,,,,,,,,,
0.1,0.906,6,L,0.327676294,,,,,,,,,,,,,,
0.95,0.927,7,U,-0.038484763,,,,,,,,,,,,,,
0.85,0.927,7,U,-0.12037089,,,,,,,,,,,,,,
0.75,0.927,7,U,-0.202316411,,,,,,,,,,,,,,
0.65,0.927,7,U,-0.268858788,,,,,,,,,,,,,,
0.55,0.927,7,U,-0.345709525,,,,,,,,,,,,,,
0.45,0.927,7,U,-0.422560261,,,,,,,,,,,,,,
0.35,0.927,7,U,-0.509719358,,,,,,,,,,,,,,
0.25,0.927,7,U,-0.725495372,,,,,,,,,,,,,,
0.2,0.927,7,U,-0.825859992,,,,,,,,,,,,,,
0.15,0.927,7,U,-0.956971507,,,,,,,,,,,,,,
0.1,0.927,7,U,-1.17582287,,,,,,,,,,,,,,
0.075,0.927,7,U,-1.388391546,,,,,,,,,,,,,,
0.05,0.927,7,U,-1.652323836,,,,,,,,,,,,,,
0.025,0.927,7,U,-2.045170019,,,,,,,,,,,,,,
0.01,0.927,7,U,-1.999554536,,,,,,,,,,,,,,
0.0075,0.927,7,U,-1.736988335,,,,,,,,,,,,,,
0,0.927,7,U,-0.17521242,,,,,,,,,,,,,,
0.025,0.927,7,L,0.851894871,,,,,,,,,,,,,,
0.05,0.927,7,L,0.558938147,,,,,,,,,,,,,,
0.1,0.927,7,L,0.298391381,,,,,,,,,,,,,,
0.95,0.948,8,U,-0.139294289,,,,,,,,,,,,,,
0.85,0.948,8,U,-0.215958203,,,,,,,,,,,,,,
0.75,0.948,8,U,-0.259338084,,,,,,,,,,,,,,
0.65,0.948,8,U,-0.308142371,,,,,,,,,,,,,,
0.55,0.948,8,U,-0.36261693,,,,,,,,,,,,,,
0.45,0.948,8,U,-0.428001767,,,,,,,,,,,,,,
0.35,0.948,8,U,-0.499179808,,,,,,,,,,,,,,
0.25,0.948,8,U,-0.658869403,,,,,,,,,,,,,,
0.1,0.948,8,U,-1.0760723,,,,,,,,,,,,,,
0.05,0.948,8,U,-1.466475865,,,,,,,,,,,,,,
0.025,0.948,8,U,-1.839315418,,,,,,,,,,,,,,
0,0.948,8,U,-0.081853979,,,,,,,,,,,,,,
0.025,0.948,8,L,0.818228616,,,,,,,,,,,,,,
0.05,0.948,8,L,0.530811932,,,,,,,,,,,,,,
0.1,0.948,8,L,0.283148614,,,,,,,,,,,,,,
0.95,0.969,9,U,-0.618929226,,,,,,,,,,,,,,
0.85,0.969,9,U,-0.753362256,,,,,,,,,,,,,,
0.75,0.969,9,U,-0.706093021,,,,,,,,,,,,,,
0.65,0.969,9,U,-0.581046551,,,,,,,,,,,,,,
0.55,0.969,9,U,-0.481966198,,,,,,,,,,,,,,
0.45,0.969,9,U,-0.476509209,,,,,,,,,,,,,,
0.35,0.969,9,U,-0.512137764,,,,,,,,,,,,,,
0.25,0.969,9,U,-0.641147448,,,,,,,,,,,,,,
0.2,0.969,9,U,-0.690139234,,,,,,,,,,,,,,
0.15,0.969,9,U,-0.811545468,,,,,,,,,,,,,,
0.1,0.969,9,U,-0.953918384,,,,,,,,,,,,,,
0.075,0.969,9,U,-1.172736249,,,,,,,,,,,,,,
0.05,0.969,9,U,-1.287568528,,,,,,,,,,,,,,
0.025,0.969,9,U,-1.656517519,,,,,,,,,,,,,,
0.01,0.969,9,U,-1.709358131,,,,,,,,,,,,,,
0.0075,0.969,9,U,-1.460664764,,,,,,,,,,,,,,
0,0.969,9,U,0.176263779,,,,,,,,,,,,,,
0.025,0.969,9,L,0.757941147,,,,,,,,,,,,,,
0.05,0.969,9,L,0.458587272,,,,,,,,,,,,,,
0.1,0.969,9,L,0.206650664,,,,,,,,,,,,,,
0.95,0.984,10,U,-0.493624346,,,,,,,,,,,,,,
0.85,0.984,10,U,-0.681897306,,,,,,,,,,,,,,
0.75,0.984,10,U,-0.615794834,,,,,,,,,,,,,,
0.55,0.984,10,U,-0.997689862,,,,,,,,,,,,,,
0.45,0.984,10,U,-0.839468213,,,,,,,,,,,,,,
0.35,0.984,10,U,-0.620831584,,,,,,,,,,,,,,
0.25,0.984,10,U,-0.62590738,,,,,,,,,,,,,,
0.2,0.984,10,U,-0.618202583,,,,,,,,,,,,,,
0.15,0.984,10,U,-0.697267856,,,,,,,,,,,,,,
0.1,0.984,10,U,-0.771049095,,,,,,,,,,,,,,
0.075,0.984,10,U,-0.93016877,,,,,,,,,,,,,,
0.05,0.984,10,U,-1.093856661,,,,,,,,,,,,,,
0.025,0.984,10,U,-1.359646126,,,,,,,,,,,,,,
0.01,0.984,10,U,-1.365580902,,,,,,,,,,,,,,
0.0075,0.984,10,U,-1.040417647,,,,,,,,,,,,,,
0,0.984,10,U,0.241702214,,,,,,,,,,,,,,
0.025,0.984,10,L,0.63497223,,,,,,,,,,,,,,
0.05,0.984,10,L,0.305631204,,,,,,,,,,,,,,
0.1,0.984,10,L,0.078977422,,,,,,,,,,,,,,
0.95,0.992,11,U,-0.444846967,,,,,,,,,,,,,,
0.85,0.992,11,U,-0.654548737,,,,,,,,,,,,,,
0.75,0.992,11,U,-0.632535929,,,,,,,,,,,,,,
0.65,0.992,11,U,-0.577377134,,,,,,,,,,,,,,
0.55,0.992,11,U,-0.7098151,,,,,,,,,,,,,,
0.45,0.992,11,U,-0.947522695,,,,,,,,,,,,,,
0.35,0.992,11,U,-1.295486414,,,,,,,,,,,,,,
0.25,0.992,11,U,-0.787178788,,,,,,,,,,,,,,
0.2,0.992,11,U,-0.651990181,,,,,,,,,,,,,,
0.15,0.992,11,U,-0.64930869,,,,,,,,,,,,,,
0.1,0.992,11,U,-0.657522195,,,,,,,,,,,,,,
0.075,0.992,11,U,-0.769391824,,,,,,,,,,,,,,
0.05,0.992,11,U,-0.897527113,,,,,,,,,,,,,,
0.025,0.992,11,U,-1.219321329,,,,,,,,,,,,,,
0.01,0.992,11,U,-1.142902694,,,,,,,,,,,,,,
0.0075,0.992,11,U,-0.850420472,,,,,,,,,,,,,,
0,0.992,11,U,0.375520067,,,,,,,,,,,,,,
0.025,0.992,11,L,0.498668859,,,,,,,,,,,,,,
0.05,0.992,11,L,0.218387802,,,,,,,,,,,,,,
0.1,0.992,11,L,-0.016392435,,,,,,,,,,,,,,
