r,azim,z,Vmag,Vr,Vz,div,vort
0.77192,0.3065,0.16587,11.002,-3.1274,-10.548,-0.00098299,0.0017892
0.80451,0.3065,0.16587,11.562,-3.5986,-10.988,-0.0046357,0.0098572
0.83413,0.3065,0.16587,12.078,-4.9431,-11.02,-0.010752,0.020672
0.86671,0.3065,0.16587,11.988,-5.328,-10.739,-0.019105,0.0071165
0.89633,0.3065,0.16587,12.413,-5.6485,-11.053,-0.017598,0.0072786
0.92891,0.3065,0.16587,13.947,-3.1495,-13.586,-0.011043,0.0068181
0.95853,0.3065,0.16587,21.919,11.614,-18.59,-0.272,0.50033
0.99111,0.3065,0.16587,14.838,3.5201,14.415,-0.032755,0.083085
1.0207,0.3065,0.16587,7.6826,-1.9925,7.4197,0.035014,-0.064531
0.7423,0.3065,0.17772,9.3994,-2.616,-9.028,-0.028685,-0.096984
0.77192,0.3065,0.17772,10.625,-3.3707,-10.076,0.011377,0.0012472
0.80451,0.3065,0.17772,11.305,-4.0508,-10.554,0.02187,0.0013666
0.83413,0.3065,0.17772,12.131,-4.9978,-11.053,-0.027912,-0.0049434
0.86671,0.3065,0.17772,12.239,-5.7138,-10.823,0.006251,0.011711
0.89633,0.3065,0.17772,12.986,-6.3618,-11.321,-0.013331,0.00068078
0.92891,0.3065,0.17772,16.217,-6.5129,-14.851,0.0019245,0.0044131
0.95853,0.3065,0.17772,20.083,-10.035,-17.396,0.10337,0.68337
0.99111,0.3065,0.17772,18.221,-4.9625,17.533,-0.027962,0.10571
1.0207,0.3065,0.17772,8.4528,-3.9019,7.4983,0.066136,-0.06691
0.7423,0.3065,0.19253,8.9667,-3.023,-8.4417,-0.10954,-0.13827
0.77192,0.3065,0.19253,10.1,-3.4526,-9.4919,0.026253,0.0012103
0.80451,0.3065,0.19253,11.187,-4.4314,-10.272,0.011164,0.0023121
0.83413,0.3065,0.19253,11.822,-5.147,-10.643,0.00060121,0.016296
0.86671,0.3065,0.19253,12.366,-6.3337,-10.621,-0.014424,0.016331
0.89633,0.3065,0.19253,13.204,-7.3348,-10.979,-0.008812,0.0122
0.92891,0.3065,0.19253,17.039,-10.085,-13.733,-0.00051101,0.0036754
0.95853,0.3065,0.19253,28.563,-23.627,-16.051,-0.012807,0.24641
0.99111,0.3065,0.19253,19.887,-15.452,12.519,0.01603,0.020239
1.0207,0.3065,0.19253,8.8316,-6.181,6.3082,0.10858,-0.062329
0.7423,0.3065,0.20438,8.7533,-3.2913,-8.111,-0.14517,-0.15484
0.77192,0.3065,0.20438,9.95,-3.8203,-9.1874,0.0058081,-0.0031525
0.80451,0.3065,0.20438,10.864,-4.9063,-9.6931,-0.016794,-0.0054228
0.83413,0.3065,0.20438,11.683,-5.8651,-10.104,0.0057116,0.012977
0.86671,0.3065,0.20438,12.306,-6.7136,-10.313,0.0044714,0.00090708
0.89633,0.3065,0.20438,13.219,-7.956,-10.557,-0.0040669,0.016054
0.92891,0.3065,0.20438,16.329,-11.477,-11.616,0.003123,-0.00024269
0.95853,0.3065,0.20438,22.49,-20.71,-8.7692,-0.022687,0.02961
0.99111,0.3065,0.20438,16.51,-15.229,6.3755,-0.023611,-0.0020749
1.0207,0.3065,0.20438,8.6427,-7.2058,4.7721,0.13689,-0.046706
0.7423,0.61299,0.088861,11.26,-1.136,-11.202,0.026195,0.0047754
0.77192,0.61299,0.088861,12.698,-1.6576,-12.589,-0.010215,0.015187
0.80451,0.61299,0.088861,11.915,-3.8434,-11.278,-0.019433,0.011303
0.83413,0.61299,0.088861,9.5807,-5.6579,-7.7316,-0.016712,-0.020179
0.86671,0.61299,0.088861,7.0271,-3.5291,-6.0767,-0.047646,-0.004977
0.89633,0.61299,0.088861,4.0123,-0.25418,-4.0042,-0.014281,0.020557
0.92891,0.61299,0.088861,2.0182,1.5177,-1.3303,-0.028622,0.0019961
0.95853,0.61299,0.088861,2.2999,2.219,0.60465,0.0098181,0.0052842
0.99111,0.61299,0.088861,3.2375,1.7306,2.7361,-0.017261,0.0068506
1.0207,0.61299,0.088861,3.0616,-0.12294,3.0592,-0.010459,0.0027559
0.7423,0.61299,0.10071,11.211,-1.987,-11.034,-0.0083925,-0.034253
0.77192,0.61299,0.10071,12.304,-2.3839,-12.071,-0.023636,-0.0034809
0.80451,0.61299,0.10071,11.754,-4.1022,-11.014,-0.01881,0.014045
0.83413,0.61299,0.10071,9.5789,-4.1732,-8.622,-0.028416,0.013202
0.86671,0.61299,0.10071,8.6427,-2.3512,-8.3168,-0.04283,-0.032998
0.89633,0.61299,0.10071,5.6044,-0.51712,-5.5805,-0.019322,-0.0092938
0.92891,0.61299,0.10071,3.5135,2.4406,-2.5274,-0.027106,0.010895
0.95853,0.61299,0.10071,3.3132,3.1324,1.0795,0.013948,0.011051
0.99111,0.61299,0.10071,3.7886,1.7839,3.3423,-0.02412,0.0080105
